2025-09-17 07:07:36 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102172
2025-09-17 07:07:40 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85096
2025-09-17 07:07:40 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85258
2025-09-17 07:07:41 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 108603
2025-09-17 07:07:42 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88581
2025-09-17 07:07:44 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88664
2025-09-17 07:07:46 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85710
2025-09-17 07:07:47 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 86773
2025-09-17 07:07:51 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85905
2025-09-17 07:07:51 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85149
2025-09-17 07:07:52 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88501
2025-09-17 07:07:55 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 80366
2025-09-17 07:07:56 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 80422
2025-09-17 07:07:56 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102214
2025-09-17 07:07:56 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 98632
2025-09-17 07:07:56 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85259
2025-09-17 07:07:57 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102549
2025-09-17 07:07:58 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88729
2025-09-17 07:07:58 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102231
2025-09-17 07:08:00 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 108652
2025-09-17 07:08:00 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 107199
2025-09-17 07:08:03 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88379
2025-09-17 07:08:08 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 106802
2025-09-17 07:08:08 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 91730
2025-09-17 07:12:20 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88386
2025-09-17 07:12:22 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110312
2025-09-17 07:12:23 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 80465
2025-09-17 07:12:24 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110314
2025-09-17 07:12:25 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 90575
2025-09-17 07:12:27 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102189
2025-09-17 07:12:28 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 86000
2025-09-17 07:12:28 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110313
2025-09-17 07:12:29 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 92107
2025-09-17 07:12:29 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 97435
2025-09-17 07:12:31 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 89029
2025-09-17 07:12:32 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 87289
2025-09-17 07:12:32 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110321
2025-09-17 07:12:34 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 98446
2025-09-17 07:12:35 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 103083
2025-09-17 07:12:36 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 90400
2025-09-17 07:12:40 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88396
2025-09-17 07:12:41 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 105521
2025-09-17 07:12:43 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 96620
2025-09-17 07:12:44 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85268
2025-09-17 07:12:45 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 101406
2025-09-17 07:12:52 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88351
2025-09-17 07:12:56 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 106960
2025-09-17 07:12:57 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 98178
2025-09-17 07:12:58 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88948
2025-09-17 07:12:58 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102596
2025-09-17 07:17:17 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88381
2025-09-17 07:17:18 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85152
2025-09-17 07:17:19 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85661
2025-09-17 07:17:19 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 108602
2025-09-17 07:17:19 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 103084
2025-09-17 07:17:20 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 108654
2025-09-17 07:17:20 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102574
2025-09-17 07:17:21 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 98630
2025-09-17 07:17:22 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 80360
2025-09-17 07:17:28 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 91351
2025-09-17 07:17:30 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 106969
2025-09-17 07:17:30 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 87464
2025-09-17 07:17:33 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 100399
2025-09-17 07:17:39 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 98911
2025-09-17 07:17:39 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 87108
2025-09-17 07:17:41 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110304
2025-09-17 07:17:43 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 105511
2025-09-17 07:17:48 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102536
2025-09-17 07:17:50 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 96640
2025-09-17 07:17:50 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102150
2025-09-17 07:17:58 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 109359
2025-09-17 07:17:59 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85138
2025-09-17 07:17:59 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110272
2025-09-17 07:18:01 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110544
2025-09-17 07:22:25 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 99454
2025-09-17 07:22:25 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88896
2025-09-17 07:22:27 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 85166
2025-09-17 07:22:34 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 87918
2025-09-17 07:22:36 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 87237
2025-09-17 07:22:38 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 87156
2025-09-17 07:22:43 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 96579
2025-09-17 07:22:44 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 89114
2025-09-17 07:22:45 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 92574
2025-09-17 07:22:48 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 89204
2025-09-17 07:22:49 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 99325
2025-09-17 07:22:49 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 80419
2025-09-17 07:22:56 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102535
2025-09-17 07:22:56 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110601
2025-09-17 07:23:02 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110317
2025-09-17 07:23:04 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102134
2025-09-17 07:27:18 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 102538
2025-09-17 07:27:19 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 106971
2025-09-17 07:27:25 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 107077
2025-09-17 07:27:28 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88121
2025-09-17 07:27:30 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 92129
2025-09-17 07:27:30 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 91326
2025-09-17 07:27:30 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88374
2025-09-17 07:27:36 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110315
2025-09-17 07:27:39 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 80260
2025-09-17 07:27:43 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 88680
2025-09-17 07:27:46 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 98226
2025-09-17 07:27:48 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 110423
2025-09-17 07:27:51 | ERROR    | crawl_data | main:133 | ❌ Failed to crawl 90289
